 Al Density=2.699
 Energy(eV), Delta, Beta
  1295.36401  0.000271034834  1.20269706E-05
  1313.42078  0.000262058893  1.14264267E-05
  1331.72913  0.000253197853  1.08559079E-05
  1350.29272  0.000244443829  1.03138409E-05
  1369.11511  0.000235766871  9.79885772E-06
  1388.19983  0.000227126846  9.30964325E-06
  1407.55054  0.000218470203  8.84490419E-06
  1427.17102  0.000209724152  8.40336179E-06
  1447.06506  0.000200788607  7.98362453E-06
  1467.23621  0.000191388142  7.58260921E-06
  1487.68884  0.000181114709  7.19845821E-06
  1508.42639  0.00016916616  6.82286645E-06
  1529.453  0.000152716733  6.46228182E-06
  1550.77271  8.53175297E-05  6.12000395E-06
  1572.38977  0.000126702143  6.92133835E-05
  1594.30786  0.000148757215  6.60646765E-05
  1616.53174  0.000155220594  6.30594586E-05
  1639.06531  0.000157799048  6.0191378E-05
  1661.91296  0.000158634939  5.74534861E-05
  1685.0791  0.000158377487  5.48401695E-05
  1708.56824  0.00015740392  5.23457056E-05
  1732.38477  0.000155937581  4.99485031E-05
  1756.53333  0.000154104084  4.76241185E-05
  1781.01831  0.000151965578  4.53938483E-05
  1805.84485  0.000149585976  4.32563102E-05
  1831.01721  0.000147054918  4.12191876E-05
  1856.54065  0.00014441408  3.92780785E-05
  1882.41992  0.000141693861  3.74282681E-05
  1908.65979  0.000138917821  3.56655692E-05
  1935.2655  0.000136105344  3.39861399E-05
  1962.24194  0.000133272741  3.23858767E-05
  1989.59473  0.000130422835  3.0860796E-05
  2017.32861  0.000127587336  2.94220172E-05
  2045.44897  0.000124777493  2.80253898E-05
  2073.96143  0.000121978061  2.6681857E-05
  2102.87134  0.000119191725  2.53988819E-05
  2132.18433  0.000116431125  2.41749822E-05
  2161.90576  0.000113700487  2.30079859E-05
  2192.0415  0.000111001333  2.18933146E-05
  2222.59741  0.000108336717  2.08310321E-05
  2253.57935  0.000105712039  1.98179841E-05
  2284.99292  0.000103128848  1.88522827E-05
  2316.84448  0.000100588921  1.79319431E-05
  2349.13989  9.80935292E-05  1.70547846E-05
  2381.8855  9.56432414E-05  1.62186516E-05
  2415.08789  9.32392068E-05  1.54223271E-05
  2448.75293  9.08800648E-05  1.46637067E-05
  2482.88721  8.85684713E-05  1.39405611E-05
  2517.49707  8.63043169E-05  1.32520527E-05
  2552.58984  8.40873981E-05  1.25965671E-05
  2588.17163  8.19178458E-05  1.1972541E-05
  2624.24927  7.97958637E-05  1.13785536E-05
  2660.82983  7.77210298E-05  1.08129643E-05
  2697.92041  7.56917652E-05  1.02748709E-05
  2735.52783  7.37084047E-05  9.76239971E-06
  2773.65967  7.17709117E-05  9.27485871E-06
  2812.323  6.9878799E-05  8.81109099E-06
  2851.52539  6.80313169E-05  8.36991148E-06
  2891.27393  6.62277889E-05  7.95022152E-06
  2931.57666  6.44678003E-05  7.55104929E-06
  2972.44141  6.2749983E-05  7.17131388E-06
  3013.87549  6.10739953E-05  6.81033544E-06
  3055.88745  5.94394842E-05  6.46703074E-06
  3098.48486  5.7845562E-05  6.14060718E-06
  3141.67603  5.62914756E-05  5.83032306E-06
  3185.46924  5.47764539E-05  5.53540713E-06
  3229.8728  5.32996746E-05  5.25507221E-06
  3274.89575  5.1860603E-05  4.98865029E-06
  3320.54614  5.04579184E-05  4.735326E-06
  3366.83252  4.90913008E-05  4.49466552E-06
  3413.7644  4.77598842E-05  4.26603083E-06
  3461.35059  4.64629484E-05  4.04880575E-06
  3509.59961  4.51997767E-05  3.84241503E-06
  3558.52148  4.39695505E-05  3.64632001E-06
  3608.12549  4.27716404E-05  3.46009006E-06
  3658.4209  4.16050352E-05  3.28316582E-06
  3709.41724  4.04691564E-05  3.11512349E-06
  3761.12451  3.93633964E-05  2.95554446E-06
  3813.55249  3.82868966E-05  2.804019E-06
  3866.71143  3.72389914E-05  2.66014035E-06
  3920.61133  3.62191386E-05  2.52351788E-06
  3975.26221  3.52264688E-05  2.39382894E-06
  4030.67554  3.42603525E-05  2.2706397E-06
  4086.86084  3.33201788E-05  2.15371392E-06
  4143.82959  3.24052744E-05  2.04271623E-06
  4201.59229  3.15149773E-05  1.93735877E-06
  4260.16016  3.06487236E-05  1.83736915E-06
  4319.54443  2.98059585E-05  1.74247202E-06
  4379.75635  2.89860327E-05  1.65239453E-06
  4440.80811  2.81881585E-05  1.56691488E-06
  4502.71045  2.74120866E-05  1.48579682E-06
  4565.47559  2.66571042E-05  1.40879831E-06
  4629.11572  2.59226344E-05  1.33575804E-06
  4693.64355  2.520819E-05  1.26646432E-06
  4759.07031  2.45133069E-05  1.20071252E-06
  4825.40918  2.38374269E-05  1.13832982E-06
  4892.67285  2.31799222E-05  1.07917162E-06
  4960.87402  2.25405493E-05  1.02302147E-06
  5030.02588  2.19185822E-05  9.69769189E-07
  5100.14209  2.13137191E-05  9.19263982E-07
  5171.23486  2.07254889E-05  8.71349187E-07
  5243.31885  2.01533785E-05  8.25899519E-07
  5316.4082  1.9596946E-05  7.82807263E-07
  5390.51611  1.90557803E-05  7.41941847E-07
  5465.65723  1.85296703E-05  7.03188618E-07
  5541.84521  1.80179886E-05  6.66414792E-07
  5619.09521  1.75203404E-05  6.31561136E-07
  5697.42285  1.70363983E-05  5.98521183E-07
  5776.8418  1.65658621E-05  5.6719125E-07
  5857.36768  1.61083663E-05  5.37484993E-07
  5939.01611  1.56634214E-05  5.09319193E-07
  6021.80273  1.52307666E-05  4.82591474E-07
  6105.74316  1.48100598E-05  4.5728504E-07
  6190.85449  1.440097E-05  4.33277251E-07
  6277.15186  1.40031798E-05  4.10516463E-07
  6364.65137  1.36163799E-05  3.88944017E-07
  6453.37158  1.32402811E-05  3.68494966E-07
  6543.32812  1.28746251E-05  3.49113293E-07
  6634.53809  1.25189927E-05  3.30740789E-07
  6727.02051  1.21732564E-05  3.1332965E-07
  6820.7915  1.18371318E-05  2.96824652E-07
  6915.86914  1.15102594E-05  2.81183759E-07
  7012.27295  1.11924155E-05  2.66361127E-07
  7110.02002  1.08834083E-05  2.52313498E-07
  7209.12988  1.05829695E-05  2.39001253E-07
  7309.62109  1.02907643E-05  2.26385623E-07
  7411.51318  1.00067573E-05  2.14430472E-07
  7514.82617  9.73053284E-06  2.03101607E-07
  7619.57861  9.46196633E-06  1.9236677E-07
  7725.79102  9.20086404E-06  1.82196032E-07
  7833.48438  8.94699133E-06  1.7255887E-07
  7942.67969  8.70012082E-06  1.63427472E-07
  8053.396  8.46006878E-06  1.54778249E-07
  8165.65625  8.22674156E-06  1.46582479E-07
  8279.48047  7.99980535E-06  1.38816006E-07
  8394.89258  7.77915557E-06  1.31459956E-07
  8511.91211  7.56463487E-06  1.24489873E-07
  8630.56348  7.35604954E-06  1.17886771E-07
  8750.86914  7.15322676E-06  1.11633433E-07
  8872.85156  6.95603421E-06  1.0570988E-07
  8996.53418  6.76431819E-06  1.00097587E-07
  9121.94141  6.5778836E-06  9.47805461E-08
  9249.0957  6.39658947E-06  8.97452423E-08
  9378.02344  6.22033986E-06  8.49759729E-08
  9508.74805  6.04895968E-06  8.04593725E-08
  9641.29492  5.88230205E-06  7.61818484E-08
  9775.68848  5.72028921E-06  7.21292253E-08
  9911.95703  5.56273744E-06  6.82934527E-08
  10050.125  5.40952442E-06  6.46583516E-08
  10190.2178  5.26058875E-06  6.12157365E-08
  10332.2637  5.11574308E-06  5.79553401E-08
  10476.29  4.97490646E-06  5.48679999E-08
  10622.3232  4.83797976E-06  5.19445749E-08
