 Pb Density=11.35
 Energy(eV), Delta, Beta
  311.281525  0.00308357389  0.00447531417
  315.620605  0.00305264979  0.00445955899
  320.020203  0.00301966886  0.00444386434
  324.48111  0.00298694009  0.00442822184
  329.004181  0.00295596896  0.00441262033
  333.590363  0.00292753987  0.00439707329
  338.240417  0.00290308613  0.00438160403
  342.955322  0.00288258074  0.00436462602
  347.735901  0.00286523486  0.00434507616
  352.58316  0.00285138097  0.00432561431
  357.497986  0.00284350733  0.00430626282
  362.481323  0.00284404377  0.00428698538
  367.534119  0.00286622718  0.00425802311
  372.657349  0.00288931001  0.00420520734
  377.85199  0.00289937668  0.00413821731
  383.119019  0.00289690727  0.00407229969
  388.459473  0.00289155915  0.00400743587
  393.87439  0.00288546039  0.00394358439
  399.364807  0.00288393139  0.00387851382
  404.931732  0.00287777837  0.00380409253
  410.576233  0.00286583579  0.00372829032
  416.299469  0.00284958212  0.0036539943
  422.102448  0.00283072703  0.00358117418
  427.986359  0.00280993781  0.00350980391
  433.95224  0.00278701074  0.00343986158
  440.001282  0.00276360568  0.00337315933
  446.134674  0.00274086301  0.00330807059
  452.353577  0.00271876762  0.00324430503
  458.659119  0.002697516  0.00318176625
  465.052582  0.00267728092  0.00312042981
  471.535156  0.00265982375  0.00306028174
  478.108093  0.00265031448  0.00300077535
  484.772644  0.00264072837  0.00292720878
  491.530151  0.0026228365  0.00285133743
  498.381775  0.0026004205  0.0027768563
  505.328979  0.00257522566  0.00270431838
  512.372986  0.00254820287  0.00263367407
  519.515198  0.00251995842  0.0025648775
  526.756958  0.00249104155  0.00249784882
  534.09967  0.00246231444  0.00243219966
  541.544739  0.002432195  0.00236608391
  549.093506  0.00240067183  0.00230157888
  556.74762  0.00236822083  0.00223883148
  564.508362  0.0023351775  0.0021777954
  572.377319  0.00230173487  0.00211842312
  580.355957  0.00226804102  0.00206066924
  588.445801  0.00223424216  0.00200448977
  596.648438  0.00220063166  0.0019495812
  604.965332  0.00216677785  0.0018956929
  613.398315  0.00213259156  0.00184318505
  621.948669  0.00209820946  0.00179213157
  630.618347  0.00206373213  0.00174249033
  639.408813  0.00202906248  0.00169422757
  648.321838  0.00199387711  0.00164732325
  657.35907  0.00195898744  0.00160372513
  666.522278  0.0019252554  0.00156170118
  675.813293  0.0018925739  0.0015208507
  685.233704  0.00186073524  0.00148106832
  694.785522  0.00182963419  0.00144232553
  704.470398  0.00179928192  0.00140459847
  714.290344  0.00176971883  0.00136785896
  724.247192  0.00174115656  0.00133207836
  734.342834  0.00171433657  0.00129723491
  744.579163  0.00168813812  0.00126114872
  754.958191  0.00166172779  0.00122499454
  765.481934  0.00163500838  0.00118964189
  776.152344  0.001608402  0.00115530752
  786.971436  0.00158241903  0.001121826
  797.941406  0.00155726098  0.00108813588
  809.06427  0.001531563  0.00105413527
  820.342224  0.00150518562  0.00102112012
  831.777283  0.00147864479  0.000989139662
  843.371826  0.001452083  0.000958032673
  855.127991  0.00142528152  0.00092787121
  867.047974  0.00139818701  0.000899217848
  879.134155  0.00137199811  0.000873244309
  891.388855  0.00134753471  0.000848001044
  903.814331  0.00132438156  0.000823483453
  916.413025  0.00130342087  0.000799670292
  929.187317  0.00128371571  0.000774059445
  942.139648  0.00126386923  0.000746533566
  955.272583  0.00124295242  0.000718986732
  968.588562  0.00122092559  0.000691619876
  982.09021  0.00119821774  0.000665278407
  995.779968  0.00117540697  0.00063982897
  1009.66058  0.00115283486  0.000615242112
  1023.7348  0.0011302206  0.000590877782
  1038.005  0.00110732566  0.00056693505
  1052.47424  0.00108415121  0.000543918228
  1067.14514  0.00106090703  0.000521798385
  1082.02051  0.00103768322  0.000500562193
  1097.10339  0.00101456174  0.000480188639
  1112.39636  0.00099164166  0.000460640411
  1127.90259  0.000968955341  0.000441880809
  1143.62488  0.000946528278  0.000423879857
  1159.56641  0.00092438393  0.000406607462
  1175.73022  0.000902542961  0.000390032685
  1192.11926  0.000881011598  0.000374129857
  1208.73682  0.000859785068  0.000358872232
  1225.58594  0.000838896376  0.000344235159
  1242.66992  0.000818351109  0.000330204755
  1259.99194  0.000798161374  0.000316762511
  1277.55554  0.000778344052  0.00030388587
  1295.36401  0.000758912647  0.000291546865
  1313.42078  0.000739865587  0.000279704545
  1331.72913  0.000721180404  0.000268341537
  1350.29272  0.000702870369  0.000257436535
  1369.11511  0.0006849356  0.000246971467
  1388.19983  0.000667374348  0.000236929758
  1407.55054  0.000650185393  0.000227293829
  1427.17102  0.00063336984  0.0002180468
  1447.06506  0.000616933219  0.000209173028
  1467.23621  0.000600880769  0.000200629918
  1487.68884  0.000585218542  0.000192389911
  1508.42639  0.000569863245  0.000184338569
  1529.453  0.000554763596  0.000176560527
  1550.77271  0.000539919012  0.000169099207
  1572.38977  0.000525350973  0.00016195167
  1594.30786  0.000511073857  0.000155106143
  1616.53174  0.000497084344  0.000148549167
  1639.06531  0.000483374199  0.000142264689
  1661.91296  0.000469953055  0.000136246512
